IGSID,ProductionYears,StartYear,EndYear
BA0015,1921-1926,1921,1926
BA0015,1935,1935,1935
BA0015,1936,1936,1936
BA0017,1930,1930,1930
BA0017,1946-1952,1946,1952
BA0018,1923,1923,1923
BA0018,1927,1927,1927
BA0032,1906,1906,1906
BA0039,1940-1941,1940,1941
BA0042,1935-1940,1935,1940
BA0044,1939-1940,1939,1940
BA0045,1934-1935,1934,1935
BA0045,1940,1940,1940
BA0053,1919-1922,1919,1922
BA0053,1942,1942,1942
BA0053,1943,1943,1943
BA0053,1949,1949,1949
BA0055,1918-1922,1918,1922
BA0055,1947,1947,1947
BA0059,1941,1941,1941
BA0061,1947,1947,1947
BA0061,1949,1949,1949
BA0062,1922,1922,1922
BA0062,1923,1923,1923
BA0062,1929-1943,1929,1943
BA0062,1948,1948,1948
BA0062,1950,1950,1950
BA0089,1917,1917,1917
BA0089,1918,1918,1918
BA0089,1927-1929,1927,1929
BA0092,1904-1905,1904,1905
BA0105,1938-1940,1938,1940
BA0106,1936,1936,1936
BA0106,1937,1937,1937
BA0124,1934-1938,1934,1938
BA0125,1948,1948,1948
BA0148,1939,1939,1939
BA0148,1940,1940,1940
BA0158,1952,1952,1952
BA0158,1958,1958,1958
BA0188,1947,1947,1947
BA0188,1951,1951,1951
BA0189,1938-1939,1938,1939
BA0195,1937-1941,1937,1941
BA0195,1947-1948,1947,1948
BA0196,1917-1922,1917,1922
BA0198,1919-1922,1919,1922
BO0001,1938,1938,1938
BO0002,1935-1942,1935,1942
BO0006,1924,1924,1924
BO0006,1926,1926,1926
BO0007,1907,1907,1907
BO0007,1908,1908,1908
BO0007,1932,1932,1932
BO0007,1934,1934,1934
BO0012,1931-1934,1931,1934
BO0015,1901-1904,1901,1904
BO0015,1915-1916,1915,1916
BO0019,1903-1904,1903,1904
BO0019,1906,1906,1906
BO0023,1908,1908,1908
BO0033,1901,1901,1901
BO0034,1947,1947,1947
BO0034,1950,1950,1950
BO0034,1958,1958,1958
BO0036,1932,1932,1932
BO0036,1936-1938,1936,1938
BO0047,1908-1909,1908,1909
BO0047,1934-1935,1934,1935
BO0047,1964,1964,1964
BO0049,1934,1934,1934
BO0050,1901-1905,1901,1905
BO0050,1913-1923,1913,1923
BO0050,1934-1941,1934,1941
BO0050,1946-1966,1946,1966
BO0051,1940-1941,1940,1941
BO0053,1906-1908,1906,1908
BO0053,1937-1940,1937,1940
BO0053,1947-1948,1947,1948
BO0055,1939,1939,1939
BO0055,1951-1952,1951,1952
BO0056,1904,1904,1904
BO0056,1911,1911,1911
BO0056,1936-1944,1936,1944
BO0057,1904-1912,1904,1912
BO0059,1901-1906,1901,1906
BO0059,1933-1941,1933,1941
BO0059,1948-1953,1948,1953
BO0059,1960,1960,1960
BO0060,1918-1929,1918,1929
BO0060,1938,1938,1938
BO0065,1946,1946,1946
BO0065,1953-1954,1953,1954
BO0066,1946,1946,1946
BO0069,1914-1920,1914,1920
BO0071,1938-1940,1938,1940
BO0074,1904-1909,1904,1909
BO0074,1924-1933,1924,1933
BO0074,1940-1942,1940,1942
BO0080,1901-1902,1901,1902
BO0084,1934-1935,1934,1935
BO0085,1937-1942,1937,1942
BO0086,1936-1942,1936,1942
BO0090,1913-1918,1913,1918
BO0091,1912-1913,1912,1913
BO0099,1930-1936,1930,1936
BO0100,1901-1927,1901,1927
BO0100,1936-1946,1936,1946
BO0100,1977-1982,1977,1982
BO0115,1934-1940,1934,1940
BO0116,1921-1925,1921,1925
BO0116,1938-1939,1938,1939
BO0118,1929,1929,1929
BO0123,1951,1951,1951
BO0133,1913,1913,1913
BO0133,1934,1934,1934
BO0135,1911-1916,1911,1916
BO0139,1912-1916,1912,1916
BO0139,1934,1934,1934
BO0139,1956,1956,1956
BO0140,1933-1935,1933,1935
BO0141,1935,1935,1935
BO0141,1940,1940,1940
BO0144,1914,1914,1914
BO0145,1938,1938,1938
BO0148,1908,1908,1908
BO0148,1910,1910,1910
BO0149,1926,1926,1926
BO0149,1930-1940,1930,1940
BO0149,1946,1946,1946
BO0150,1949,1949,1949
BO0152,1926,1926,1926
BO0152,1933-1941,1933,1941
BO0153,1901-1910,1901,1910
BO0153,1915-1920,1915,1920
BO0153,1923-1941,1923,1941
BO0153,1946,1946,1946
BO0153,1950,1950,1950
BO0153,1954,1954,1954
BO0156,1934-1935,1934,1935
BO0157,1914-1917,1914,1917
BO0157,1928,1928,1928
BO0157,1934,1934,1934
BO0158,1907,1907,1907
BO0158,1909,1909,1909
BO0158,1914,1914,1914
BO0158,1926-1939,1926,1939
BO0159,1940,1940,1940
BO0162,1908-1923,1908,1923
BO0166,1935,1935,1935
BO0166,1939-1943,1939,1943
BO0166,1947,1947,1947
BO0168,1910,1910,1910
BO0168,1940,1940,1940
BO0168,1947,1947,1947
BO0170,1902-1905,1902,1905
BO0170,1939,1939,1939
BO0173,1912-1914,1912,1914
BO0173,1922,1922,1922
BO0173,1939,1939,1939
BO0176,1907-1910,1907,1910
BO0176,1921-1935,1921,1935
BO0177,1923-1940,1923,1940
BO0181,1902,1902,1902
BO0181,1907,1907,1907
BO0181,1916,1916,1916
BO0181,1923-1942,1923,1942
BO0181,1947-1949,1947,1949
BO0184,1938-1939,1938,1939
BO0185,1926,1926,1926
BO0185,1935,1935,1935
BO0185,1939,1939,1939
BO0186,1916,1916,1916
BO0187,1921,1921,1921
BO0190,1914-1917,1914,1917
BO0190,1925-1926,1925,1926
BO0190,1935-1947,1935,1947
BO0193,1928-1936,1928,1936
BO0195,1917-1918,1917,1918
BO0195,1938-1943,1938,1943
BO0195,1947,1947,1947
BO0195,1950,1950,1950
BO0197,1926-1928,1926,1928
BO0201,1902,1902,1902
BO0203,1934-1935,1934,1935
BO0205,1929-1932,1929,1932
BO0205,1951,1951,1951
BO0210,1901,1901,1901
BO0210,1904-1906,1904,1906
BO0210,1912,1912,1912
BO0210,1914,1914,1914
BO0210,1916,1916,1916
BO0211,1902-1903,1902,1903
BO0211,1935,1935,1935
BO0213,1925,1925,1925
BO0213,1932-1933,1932,1933
BO0213,1940,1940,1940
BO0214,1928,1928,1928
BO0214,1931,1931,1931
BO0214,1938-1939,1938,1939
BO0215,1909,1909,1909
BO0215,1916,1916,1916
BO0215,1917,1917,1917
BO0215,1922,1922,1922
BO0217,1940,1940,1940
BO0220,1931-1934,1931,1934
BO0225,1934-1935,1934,1935
BO0227,1912-1913,1912,1913
BO0234,1940,1940,1940
BO0234,1946-1947,1946,1947
BO0236,1939-1942,1939,1942
BO0236,1946,1946,1946
BO0243,1934,1934,1934
BO0243,1938,1938,1938
BO0248,1941,1941,1941
BO0255,1931,1931,1931
BO0260,1941,1941,1941
BO0263,1905-1910,1905,1910
BO0263,1918-1941,1918,1941
BO0264,1901-1941,1901,1941
BO0270,1938,1938,1938
BO0278,1938-1942,1938,1942
BO0279,1941,1941,1941
BO0292,1935-1938,1935,1938
BO0296,1904-1906,1904,1906
BO0302,1925-1934,1925,1934
BO0304,1925-1936,1925,1936
BO0315,1910,1910,1910
BO0316,1908-1910,1908,1910
BO0320,1907,1907,1907
BO0323,1906-1908,1906,1908
BO0324,1941,1941,1941
BO0327,1933-1937,1933,1937
BO0327,1945,1945,1945
BO0329,1924-1929,1924,1929
BO0329,1934-1942,1934,1942
BO0331,1929,1929,1929
BO0334,1912,1912,1912
BO0335,1910-1917,1910,1917
BO0335,1937-1940,1937,1940
BO0336,1912,1912,1912
BO0336,1922,1922,1922
BO0336,1937,1937,1937
BO0343,1902-1909,1902,1909
BO0343,1932-1935,1932,1935
BO0343,1941,1941,1941
BO0344,1925,1925,1925
BO0344,1932-1940,1932,1940
BO0345,1934-1940,1934,1940
BO0345,1948-1955,1948,1955
BO0346,1923-1926,1923,1926
BO0347,1936-1939,1936,1939
BO0348,1936-1941,1936,1941
BO0349,1941-1942,1941,1942
BO0350,1981,1981,1981
BO0351,1939,1939,1939
BO0381,1938,1938,1938
BO0382,1940,1940,1940
BO0383,1936-1938,1936,1938
BO0384,1938,1938,1938
BO0384,1940,1940,1940
BO0396,1941,1941,1941
BO0398,1934-1941,1934,1941
BO0404,1940,1940,1940
BO0408,1933-1934,1933,1934
BO0408,1936-1939,1936,1939
BO0409,1978,1978,1978
BO0410,1906-1917,1906,1917
BO0410,1923-1928,1923,1928
BO0410,1933-1934,1933,1934
BO0410,1942,1942,1942
BO0423,1948,1948,1948
BO0437,1910-1915,1910,1915
BO0439,1925,1925,1925
BO0439,1930,1930,1930
BO0439,1932,1932,1932
BO0456,1941-1942,1941,1942
BO0458,1905,1905,1905
BO0458,1934-1942,1934,1942
BO0458,1955,1955,1955
BO0459,1942-1946,1942,1946
BO0464,1933,1933,1933
BO0464,1939,1939,1939
CH0028,1935-1936,1935,1936
CH0041,1934,1934,1934
CH0041,1936,1936,1936
CH0041,1941,1941,1941
CH0050,1902-1913,1902,1913
CH0050,1941,1941,1941
CH0050,1948,1948,1948
CH0050,1958,1958,1958
CH0050,1960-1963,1960,1963
CH0057,1948,1948,1948
CH0069,1913,1913,1913
CH0069,1926-1948,1926,1948
CH0087,1910-1914,1910,1914
CH0087,1924-1950,1924,1950
CH0087,1960-1969,1960,1969
CH0088,1902-1916,1902,1916
CH0088,1934-1941,1934,1941
CH0088,1956-1957,1956,1957
CH0093,1923,1923,1923
CH0093,1936-1937,1936,1937
CH0093,1963,1963,1963
CH0093,1974,1974,1974
CH0093,1979,1979,1979
CH0097,1929,1929,1929
CH0097,1932-1939,1932,1939
CH0097,1974,1974,1974
CH0098,1934,1934,1934
CH0100,1935-1941,1935,1941
CH0100,1961-1962,1961,1962
CH0103,1934-1939,1934,1939
CH0103,1949,1949,1949
CH0103,1955,1955,1955
CH0103,1970,1970,1970
CH0103,1978,1978,1978
CH0105,1948,1948,1948
CH0106,1934-1937,1934,1937
CH0106,1951,1951,1951
CH0107,1946-1948,1946,1948
CH0107,1955,1955,1955
CH0110,1929,1929,1929
CH0110,1941,1941,1941
CH0111,1903,1903,1903
CH0122,1963,1963,1963
CH0126,1982,1982,1982
CH0127,1932-1952,1932,1952
CH0133,1926,1926,1926
CH0133,1932-1938,1932,1938
CH0141,1923,1923,1923
CH0173,1925,1925,1925
CH0173,1934,1934,1934
CH0173,1948,1948,1948
CH0173,1950,1950,1950
CH0190,1916,1916,1916
CH0190,1928,1928,1928
CH0190,1929,1929,1929
CH0190,1939-1941,1939,1941
CH0190,1979,1979,1979
CH0195,1946,1946,1946
CH0198,1939,1939,1939
CH0198,1940,1940,1940
CH0199,1939,1939,1939
CH0199,1940,1940,1940
CH0200,1940,1940,1940
CH0200,1941,1941,1941
CH0200,1948,1948,1948
CH0200,1949,1949,1949
CH0209,1958,1958,1958
CH0213,1884,1884,1884
CH0213,1919,1919,1919
CH0213,1928,1928,1928
CH0213,1940-1941,1940,1941
CH0236,1923,1923,1923
CH0236,1934,1934,1934
CH0243,1942,1942,1942
CH0244,1947,1947,1947
CH0244,1961,1961,1961
CH0249,1910,1910,1910
CH0251,1917,1917,1917
CH0251,1939,1939,1939
CH0251,1945-1954,1945,1954
CH0251,1965,1965,1965
CH0269,1936,1936,1936
CH0269,1968,1968,1968
CH0280,1903-1916,1903,1916
CH0280,1925,1925,1925
CH0280,1937-1938,1937,1938
CH0288,1916,1916,1916
CH0289,1912,1912,1912
CH0290,1935,1935,1935
CH0310,1952,1952,1952
CH0310,1961,1961,1961
CH0342,1921,1921,1921
CH0342,1939,1939,1939
CH0346,1884,1884,1884
CH0346,1929,1929,1929
CH0346,1940,1940,1940
CH0346,1949,1949,1949
CH0346,1953-1956,1953,1956
CH0348,1924-1948,1924,1948
CH0349,1912,1912,1912
CH0349,1929,1929,1929
CH0349,1930,1930,1930
CH0349,1937,1937,1937
CH0349,1942,1942,1942
CH0350,1913-1917,1913,1917
CH0351,1948-1960,1948,1960
CH0352,1920-1942,1920,1942
CH0352,1956-1968,1956,1968
CH0352,1981,1981,1981
CH0352,1982,1982,1982
CH0354,1951,1951,1951
CH0358,1941,1941,1941
CH0358,1947,1947,1947
CH0358,1955,1955,1955
CH0362,1948,1948,1948
CH0363,1904-1914,1904,1914
CH0363,1933-1942,1933,1942
CH0368,1914,1914,1914
CH0368,1921,1921,1921
CH0368,1948,1948,1948
CH0368,1949,1949,1949
CH0368,1958,1958,1958
CH0369,1902,1902,1902
CH0369,1912-1955,1912,1955
CH0369,1961,1961,1961
CH0369,1964,1964,1964
CH0373,1884,1884,1884
CH0375,1908,1908,1908
CH0375,1909,1909,1909
CH0375,1922,1922,1922
CH0376,1901-1918,1901,1918
CH0377,1901-1911,1901,1911
CH0377,1942-1951,1942,1951
CH0377,1961,1961,1961
CH0377,1964,1964,1964
CH0378,1906,1906,1906
CH0378,1922-1927,1922,1927
CH0378,1939,1939,1939
CH0378,1949,1949,1949
CH0379,1903,1903,1903
CH0384,1907,1907,1907
CH0384,1934,1934,1934
CH0384,1961-1970,1961,1970
CH0385,1968-1970,1968,1970
CH0385,1978,1978,1978
CH0386,1916,1916,1916
CH0390,1902-1917,1902,1917
CH0390,1934-1943,1934,1943
CH0390,1961-1969,1961,1969
CH0391,1901,1901,1901
CH0391,1904,1904,1904
CH0396,1909,1909,1909
CH0396,1919-1925,1919,1925
CH0396,1938-1955,1938,1955
CH0396,1965,1965,1965
CH0398,1902,1902,1902
CH0400,1907,1907,1907
CH0402,1963-1968,1963,1968
CH0403,1938-1941,1938,1941
CH0403,1947-1955,1947,1955
CH0407,1953,1953,1953
CH0407,1954,1954,1954
CH0411,1908-1911,1908,1911
CH0412,1915,1915,1915
CH0412,1939,1939,1939
CH0417,1951,1951,1951
CH0419,1910,1910,1910
CH0419,1934-1940,1934,1940
CH0419,1955,1955,1955
CH0419,1958-1963,1958,1963
CH0420,1964,1964,1964
CH0420,1966,1966,1966
CH0421,1936,1936,1936
CH0421,1938,1938,1938
CH0421,1944,1944,1944
CH0421,1946,1946,1946
CH0422,1948,1948,1948
CH0423,1918,1918,1918
CH0423,1924,1924,1924
CH0423,1934-1936,1934,1936
CH0423,1940,1940,1940
CH0430,1902-1910,1902,1910
CH0430,1915,1915,1915
CH0430,1922,1922,1922
CH0430,1937-1955,1937,1955
CH0431,1902,1902,1902
CH0433,1939,1939,1939
CH0433,1957,1957,1957
CH0434,1932,1932,1932
CH0434,1934-1947,1934,1947
CH0436,1916,1916,1916
CH0436,1924,1924,1924
CH0436,1930,1930,1930
CH0436,1937,1937,1937
CH0436,1949,1949,1949
CH0438,1935-1942,1935,1942
CH0438,1963,1963,1963
CH0449,1937,1937,1937
CH0453,1937,1937,1937
CH0457,1923,1923,1923
CH0457,1925,1925,1925
CH0457,1940,1940,1940
CH0457,1956,1956,1956
CH0458,1940,1940,1940
CH0462,1937-1939,1937,1939
CH0463,1901-1909,1901,1909
CH0465,1953,1953,1953
CH0466,1901-1924,1901,1924
CH0475,1901,1901,1901
CH0476,1919,1919,1919
CH0476,1932,1932,1932
CH0476,1934,1934,1934
CH0492,1909,1909,1909
CH0492,1937,1937,1937
CH0494,1938,1938,1938
CH0494,1939,1939,1939
CH0495,1934,1934,1934
CH0501,1934-1940,1934,1940
CH0503,1936,1936,1936
CH0531,1914,1914,1914
CH0531,1948,1948,1948
CH0531,1949,1949,1949
CH0538,1918,1918,1918
CH0539,1954,1954,1954
CH0544,1938-1941,1938,1941
CH0544,1952,1952,1952
CH0545,1934,1934,1934
CH0545,1938,1938,1938
CH0546,1915,1915,1915
CH0546,1933,1933,1933
CH0546,1939-1940,1939,1940
CH0547,1902,1902,1902
CH0547,1920-1926,1920,1926
CH0547,1939-1940,1939,1940
CH0547,1949,1949,1949
CH0548,1918-1921,1918,1921
CH0548,1935,1935,1935
CH0548,1939,1939,1939
CH0549,1939,1939,1939
CH0549,1941,1941,1941
CH0549,1956-1957,1956,1957
CH0553,1934-1935,1934,1935
CH0555,1902,1902,1902
CH0555,1904,1904,1904
CH0555,1940,1940,1940
CH0556,1934-1941,1934,1941
CH0556,1950-1953,1950,1953
CH0557,1939-1941,1939,1941
CH0557,1958,1958,1958
CH0558,1903,1903,1903
CH0558,1936,1936,1936
CH0558,1941,1941,1941
CH0559,1933-1934,1933,1934
CH0559,1952-1953,1952,1953
CH0560,1913-1922,1913,1922
CH0560,1934-1940,1934,1940
CH0562,1921-1946,1921,1946
CH0562,1957-1980,1957,1980
CH0563,1906-1919,1906,1919
CH0563,1925-1926,1925,1926
CH0563,1934-1959,1934,1959
CH0564,1914-1918,1914,1918
CH0564,1942-1943,1942,1943
CH0568,1928,1928,1928
CH0568,1940-1941,1940,1941
CH0570,1917,1917,1917
CH0570,1923-1931,1923,1931
CH0571,1915-1917,1915,1917
CH0571,1922-1928,1922,1928
CH0571,1936-1944,1936,1944
CH0574,1926-1969,1926,1969
CH0574,1974,1974,1974
CH0574,1975,1975,1975
CH0576,1940,1940,1940
CH0576,1950,1950,1950
CH0579,1956,1956,1956
CH0579,1957,1957,1957
CH0589,1937,1937,1937
CH0592,1884,1884,1884
CH0592,1954,1954,1954
CH0592,1957,1957,1957
CH0595,1940,1940,1940
CH0595,1941,1941,1941
CH0595,1948,1948,1948
CH0595,1954,1954,1954
CH0595,1957,1957,1957
CH0626,1902-1906,1902,1906
CH0626,1934-1942,1934,1942
CH0627,1935-1937,1935,1937
CH0628,1941-1947,1941,1947
CH0637,1940,1940,1940
CH0638,1940,1940,1940
CH0654,1939,1939,1939
CH0662,1938-1939,1938,1939
CH0664,1948,1948,1948
CH0664,1950,1950,1950
CH0664,1957,1957,1957
CH0670,1950,1950,1950
